Food code,Main food description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
32103050,"Egg Salad, made with any type of fat free dressing",2502,Eggs and omelets,5,1 cup,222.0
32105180,Huevos rancheros,2502,Eggs and omelets,1,1 egg,118.0
32105180,Huevos rancheros,2502,Eggs and omelets,2,1 cup,135.0
32105190,"Egg casserole with bread, cheese, milk and meat",2502,Eggs and omelets,1,1 cup,164.0
32105190,"Egg casserole with bread, cheese, milk and meat",2502,Eggs and omelets,2,1 cubic inch,11.8
32105200,"Egg foo yung, NFS",3404,Stir-fry and soy-based sauce mixtures,1,1 patty,86.0
32105200,"Egg foo yung, NFS",3404,Stir-fry and soy-based sauce mixtures,2,1 cup,175.0
32105210,Chicken egg foo yung,3404,Stir-fry and soy-based sauce mixtures,1,1 patty,86.0
32105210,Chicken egg foo yung,3404,Stir-fry and soy-based sauce mixtures,2,1 cup,175.0
32105220,Pork egg foo yung,3404,Stir-fry and soy-based sauce mixtures,1,1 patty,86.0
32105220,Pork egg foo yung,3404,Stir-fry and soy-based sauce mixtures,2,1 cup,175.0
32105230,Shrimp egg foo yung,3404,Stir-fry and soy-based sauce mixtures,1,1 cup,175.0
32105230,Shrimp egg foo yung,3404,Stir-fry and soy-based sauce mixtures,2,1 patty,86.0
32105240,Beef egg foo yung,3404,Stir-fry and soy-based sauce mixtures,1,1 patty,86.0
32105240,Beef egg foo yung,3404,Stir-fry and soy-based sauce mixtures,2,1 cup,175.0
32129990,"Egg omelet or scrambled egg, NS as to fat",2502,Eggs and omelets,1,1 egg,55.0
32129990,"Egg omelet or scrambled egg, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130000,"Egg omelet or scrambled egg, made with margarine",2502,Eggs and omelets,1,1 egg,55.0
32130000,"Egg omelet or scrambled egg, made with margarine",2502,Eggs and omelets,2,1 cup,135.0
32130010,"Egg omelet or scrambled egg, made with oil",2502,Eggs and omelets,1,1 egg,55.0
32130010,"Egg omelet or scrambled egg, made with oil",2502,Eggs and omelets,2,1 cup,135.0
32130020,"Egg omelet or scrambled egg, made with butter",2502,Eggs and omelets,1,1 egg,55.0
32130020,"Egg omelet or scrambled egg, made with butter",2502,Eggs and omelets,2,1 cup,135.0
32130040,"Egg omelet or scrambled egg, made with animal fat or meat drippings",2502,Eggs and omelets,1,1 egg,55.0
32130040,"Egg omelet or scrambled egg, made with animal fat or meat drippings",2502,Eggs and omelets,2,1 cup,135.0
32130060,"Egg omelet or scrambled egg, made with cooking spray",2502,Eggs and omelets,1,1 egg,50.0
32130060,"Egg omelet or scrambled egg, made with cooking spray",2502,Eggs and omelets,2,1 cup,135.0
32130065,"Egg omelet or scrambled egg, NS as to fat type",2502,Eggs and omelets,1,1 egg,55.0
32130065,"Egg omelet or scrambled egg, NS as to fat type",2502,Eggs and omelets,2,1 cup,135.0
32130070,"Egg omelet or scrambled egg, no added fat",2502,Eggs and omelets,1,1 egg,50.0
32130070,"Egg omelet or scrambled egg, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130080,"Egg omelet or scrambled egg, from fast food / restaurant",2502,Eggs and omelets,1,1 egg,55.0
32130080,"Egg omelet or scrambled egg, from fast food / restaurant",2502,Eggs and omelets,2,1 cup,135.0
32130100,"Egg omelet or scrambled egg, with cheese, made with margarine",2502,Eggs and omelets,1,1 egg,65.0
32130100,"Egg omelet or scrambled egg, with cheese, made with margarine",2502,Eggs and omelets,2,1 cup,135.0
32130110,"Egg omelet or scrambled egg, with cheese, made with oil",2502,Eggs and omelets,1,1 egg,65.0
32130110,"Egg omelet or scrambled egg, with cheese, made with oil",2502,Eggs and omelets,2,1 cup,135.0
32130120,"Egg omelet or scrambled egg, with cheese, made with butter",2502,Eggs and omelets,1,1 egg,65.0
32130120,"Egg omelet or scrambled egg, with cheese, made with butter",2502,Eggs and omelets,2,1 cup,135.0
32130140,"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",2502,Eggs and omelets,1,1 egg,65.0
32130140,"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",2502,Eggs and omelets,2,1 cup,135.0
32130160,"Egg omelet or scrambled egg, with cheese, made with cooking spray",2502,Eggs and omelets,1,1 egg,60.0
32130160,"Egg omelet or scrambled egg, with cheese, made with cooking spray",2502,Eggs and omelets,2,1 cup,135.0
32130170,"Egg omelet or scrambled egg, with cheese, no added fat",2502,Eggs and omelets,1,1 egg,60.0
32130170,"Egg omelet or scrambled egg, with cheese, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130190,"Egg omelet or scrambled egg, with meat, NS as to fat",2502,Eggs and omelets,1,1 egg,75.0
32130190,"Egg omelet or scrambled egg, with meat, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130200,"Egg omelet or scrambled egg, with meat, made with margarine",2502,Eggs and omelets,1,1 egg,75.0
32130200,"Egg omelet or scrambled egg, with meat, made with margarine",2502,Eggs and omelets,2,1 cup,135.0
32130210,"Egg omelet or scrambled egg, with meat, made with oil",2502,Eggs and omelets,1,1 egg,75.0
32130210,"Egg omelet or scrambled egg, with meat, made with oil",2502,Eggs and omelets,2,1 cup,135.0
32130220,"Egg omelet or scrambled egg, with meat, made with butter",2502,Eggs and omelets,1,1 egg,75.0
32130220,"Egg omelet or scrambled egg, with meat, made with butter",2502,Eggs and omelets,2,1 cup,135.0
32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",2502,Eggs and omelets,1,1 egg,75.0
32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",2502,Eggs and omelets,2,1 cup,135.0
32130260,"Egg omelet or scrambled egg, with meat, made with cooking spray",2502,Eggs and omelets,1,1 egg,70.0
32130260,"Egg omelet or scrambled egg, with meat, made with cooking spray",2502,Eggs and omelets,2,1 cup,135.0
32130265,"Egg omelet or scrambled egg, with meat, NS as to fat type",2502,Eggs and omelets,1,1 egg,75.0
32130265,"Egg omelet or scrambled egg, with meat, NS as to fat type",2502,Eggs and omelets,2,1 cup,135.0
32130270,"Egg omelet or scrambled egg, with meat, no added fat",2502,Eggs and omelets,1,1 egg,70.0
32130270,"Egg omelet or scrambled egg, with meat, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130290,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",2502,Eggs and omelets,1,1 egg,85.0
32130290,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130300,"Egg omelet or scrambled egg, with cheese and meat, made with margarine",2502,Eggs and omelets,1,1 egg,85.0
32130300,"Egg omelet or scrambled egg, with cheese and meat, made with margarine",2502,Eggs and omelets,2,1 cup,135.0
32130310,"Egg omelet or scrambled egg, with cheese and meat, made with oil",2502,Eggs and omelets,1,1 egg,85.0
32130310,"Egg omelet or scrambled egg, with cheese and meat, made with oil",2502,Eggs and omelets,2,1 cup,135.0
32130320,"Egg omelet or scrambled egg, with cheese and meat, made with butter",2502,Eggs and omelets,1,1 egg,85.0
32130320,"Egg omelet or scrambled egg, with cheese and meat, made with butter",2502,Eggs and omelets,2,1 cup,135.0
32130340,"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",2502,Eggs and omelets,1,1 egg,85.0
32130340,"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",2502,Eggs and omelets,2,1 cup,135.0
32130360,"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",2502,Eggs and omelets,1,1 egg,80.0
32130360,"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",2502,Eggs and omelets,2,1 cup,135.0
32130365,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",2502,Eggs and omelets,1,1 egg,85.0
32130365,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",2502,Eggs and omelets,2,1 cup,135.0
32130370,"Egg omelet or scrambled egg, with cheese and meat, no added fat",2502,Eggs and omelets,1,1 egg,80.0
32130370,"Egg omelet or scrambled egg, with cheese and meat, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130400,"Egg omelet or scrambled egg, with tomatoes, fat added",2502,Eggs and omelets,1,1 egg,75.0
32130400,"Egg omelet or scrambled egg, with tomatoes, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130410,"Egg omelet or scrambled egg, with tomatoes, no added fat",2502,Eggs and omelets,1,1 egg,70.0
32130410,"Egg omelet or scrambled egg, with tomatoes, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130420,"Egg omelet or scrambled egg, with tomatoes, NS as to fat",2502,Eggs and omelets,1,1 egg,75.0
32130420,"Egg omelet or scrambled egg, with tomatoes, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130430,"Egg omelet or scrambled egg, with dark-green vegetables, fat added",2502,Eggs and omelets,1,1 egg,75.0
32130430,"Egg omelet or scrambled egg, with dark-green vegetables, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130440,"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",2502,Eggs and omelets,1,1 egg,70.0
32130440,"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130450,"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",2502,Eggs and omelets,1,1 egg,75.0
32130450,"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130460,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added",2502,Eggs and omelets,1,1 egg,75.0
32130460,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130470,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added",2502,Eggs and omelets,1,1 egg,70.0
32130470,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added",2502,Eggs and omelets,2,1 cup,135.0
32130480,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",2502,Eggs and omelets,1,1 egg,75.0
32130480,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130490,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added",2502,Eggs and omelets,1,1 egg,75.0
32130490,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130500,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat",2502,Eggs and omelets,1,1 egg,70.0
32130500,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130510,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat",2502,Eggs and omelets,1,1 egg,75.0
32130510,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130600,"Egg omelet or scrambled egg, with cheese and tomatoes, fat added",2502,Eggs and omelets,1,1 egg,85.0
32130600,"Egg omelet or scrambled egg, with cheese and tomatoes, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130610,"Egg omelet or scrambled egg, with cheese and tomatoes, no added fat",2502,Eggs and omelets,1,1 egg,80.0
32130610,"Egg omelet or scrambled egg, with cheese and tomatoes, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130620,"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",2502,Eggs and omelets,1,1 egg,85.0
32130620,"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130630,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added",2502,Eggs and omelets,1,1 egg,85.0
32130630,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130640,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat",2502,Eggs and omelets,1,1 egg,80.0
32130640,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130650,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",2502,Eggs and omelets,1,1 egg,85.0
32130650,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130660,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added",2502,Eggs and omelets,1,1 egg,85.0
32130660,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130670,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat",2502,Eggs and omelets,1,1 egg,80.0
32130670,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat",2502,Eggs and omelets,2,1 cup,135.0
32130680,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat",2502,Eggs and omelets,1,1 egg,85.0
32130680,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat",2502,Eggs and omelets,2,1 cup,135.0
32130690,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",2502,Eggs and omelets,1,1 egg,85.0
32130690,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",2502,Eggs and omelets,2,1 cup,135.0
32130700,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",2502,Eggs and omelets,1,1 egg,80.0
32130700,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",2502,Eggs and omelets,2,1 cup,135.0
